Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Dion Lopy,sn SEN,LT,Almería,21,30,23,0,0,0,0,5,0,1.3,1.2,23,90,19
Anthony Lozano,hn HON,"LT,AT",Getafe,30,6,0,0,0,0,0,1,0,0.2,0.3,0,1,6
Anthony Lozano,hn HON,AT,Almería,30,13,10,3,0,0,0,1,0,3.3,0.7,12,16,24
Lucas,br BRA,ZG,Cádiz,22,28,15,1,0,0,0,6,0,0.8,1.9,30,47,65
José Luis Gayà,es ESP,ZG,Valencia,28,24,22,1,2,0,0,2,0,0.5,2.6,41,72,97
José Luis Morales,es ESP,"AT,LT",Villarreal,36,29,8,7,0,0,0,0,0,5.6,0.6,29,17,79
Dodi Lukebakio,be BEL,"AT,LT",Sevilla,25,23,12,5,1,0,0,0,0,5.6,0.7,48,26,116
Andriy Lunin,ua UKR,G,Real Madrid,24,21,21,0,0,0,0,2,0,0.0,0.3,0,0,0
Darwin Machís,ve VEN,LT,Cádiz,30,21,10,4,0,1,1,0,1,1.4,0.7,20,15,54
Pablo Maffeo,es ESP,ZG,Mallorca,26,22,17,1,2,0,0,3,1,0.8,0.9,38,41,68
Jon Magunacelaya,es ESP,"AT,LT",Real Sociedad,23,5,1,0,0,0,0,0,0,0.3,0.5,2,2,10
Nemanja Maksimović,rs SRB,LT,Getafe,28,37,37,4,0,0,0,4,0,5.5,1.1,22,73,35
Giorgi Mamardashvili,ge GEO,G,Valencia,22,37,37,0,0,0,0,3,1,0.0,0.4,0,0,0
Wilson Manafá,pt POR,"ZG,LT",Granada,29,4,3,0,0,0,0,1,0,0.0,0.3,5,4,6
Reinildo Mandava,mz MOZ,ZG,Atlético Madrid,29,16,7,2,1,0,0,2,0,0.9,0.6,10,36,17
Aïssa Mandi,dz ALG,ZG,Villarreal,31,16,12,1,0,0,0,3,0,0.6,0.7,6,55,4
Javier Manquillo,es ESP,"ZG,LT",Celta Vigo,29,12,10,0,1,0,0,3,0,0.1,0.2,5,25,16
Faitout Maouassa,fr FRA,"ZG,LT",Granada,25,6,2,0,1,0,0,0,0,0.2,0.5,8,6,15
Marcão,br BRA,ZG,Sevilla,27,7,3,0,0,0,0,2,0,0.0,0.2,3,12,0
Óscar de Marcos,es ESP,ZG,Athletic Club,34,28,26,1,5,0,0,5,0,0.6,3.1,51,143,125
Alberto Marí,es ESP,AT,Valencia,22,16,2,1,1,1,1,0,0,1.8,0.9,2,6,13
José Mari,es ESP,"LT,AT",Cádiz,35,3,0,0,0,0,0,1,0,0.0,0.0,0,1,1
