Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Duje Ćaleta-Car,hr CRO,ZG,Lyon,26,24,22,0,0,0,0,2,1,0.5,1.0,5,61,1
Lamine Camara,sn SEN,LT,Metz,19,31,26,1,4,0,1,3,0,2.2,3.3,23,97,69
Mahdi Camara,fr FRA,LT,Brest,25,32,26,7,3,1,1,7,0,4.9,3.1,37,81,129
Mohamed Camara,ml MLI,LT,Monaco,23,20,14,1,2,1,1,4,0,1.5,0.6,14,76,22
Axel Camblan,fr FRA,AT,Brest,19,7,0,0,0,0,0,2,0,0.2,0.0,5,1,8
Fali Candé,gw GNB,ZG,Metz,25,25,20,0,1,0,0,4,0,0.8,0.5,4,38,3
Gino Caoki,fr FRA,LT,Lorient,19,1,0,0,0,0,0,0,0,0.0,0.0,1,0,0
Maxence Caqueret,fr FRA,LT,Lyon,23,34,34,1,3,0,0,1,0,2.1,6.0,70,286,96
Igor Carioca,br BRA,"ZG,LT",Lorient,26,5,2,0,0,0,0,2,0,0.0,0.3,6,8,16
Antonin Cartillier,fr FRA,ZG,Monaco,19,1,0,0,0,0,0,0,0,0.0,0.0,1,0,0
Josué Casimir,fr FRA,"AT,ZG",Le Havre,21,30,25,0,5,0,0,6,0,1.9,4.3,59,62,138
Cristian Cásseres Jr.,ve VEN,LT,Toulouse,23,32,23,1,3,0,0,1,0,1.1,1.7,14,87,52
Jean-Charles Castelletto,cm CMR,ZG,Nantes,28,28,28,2,0,0,0,5,0,0.6,0.8,24,100,31
Maximiliano Caufriez,be BEL,ZG,Clermont Foot,26,20,20,0,1,0,0,6,3,0.4,0.2,24,61,11
Ivan Cavaleiro,pt POR,AT,Lille,29,17,9,1,1,0,0,1,0,1.3,1.2,18,23,77
Fabien Centonze,fr FRA,ZG,Nantes,27,3,1,0,0,0,0,1,0,0.0,0.0,5,1,5
Fares Chaïbi,dz ALG,"AT,LT",Toulouse,20,2,0,0,1,0,0,1,0,0.0,0.2,2,5,12
Muhammed Cham,at AUT,"LT,AT",Clermont Foot,22,33,29,8,4,4,5,4,0,9.4,3.1,71,161,142
Brendan Chardonnet,fr FRA,ZG,Brest,28,33,33,1,1,0,0,4,0,1.5,1.6,25,115,8
Jhoanner Chávez,ec ECU,ZG,Lens,21,8,6,0,0,0,0,1,0,0.3,0.5,4,15,19
Rayan Cherki,fr FRA,"LT,AT",Lyon,19,33,19,1,6,0,0,0,0,5.2,4.2,93,138,182
Lucas Chevalier,fr FRA,G,Lille,21,33,33,0,0,0,0,1,0,0.0,0.1,0,2,0
Pedro Chirivella,es ESP,LT,Nantes,26,32,31,1,1,0,0,5,0,1.5,1.1,10,192,55
Joris Chotard,fr FRA,LT,Montpellier,21,31,30,0,3,0,0,5,0,0.6,1.9,12,111,40
Djaoui Cissé,fr FRA,LT,Rennes,19,2,0,0,0,0,0,0,0,0.0,0.0,0,0,1
Ibrahim Cissoko,nl NED,"AT,LT",Toulouse,20,11,2,1,1,0,0,1,0,0.8,0.4,21,12,39
Alexis Claude-Maurice,fr FRA,LT,Nice,25,18,4,0,0,0,0,1,0,0.8,0.3,15,21,25
Jonathan Clauss,fr FRA,ZG,Marseille,30,27,25,3,4,0,0,2,1,1.3,4.6,59,137,172
Marcus Coco,fr FRA,"ZG,AT",Nantes,27,28,18,1,0,0,0,2,0,0.8,1.0,28,55,65
Maxime Colin,fr FRA,ZG,Metz,31,22,22,0,0,0,0,3,0,0.3,0.4,23,67,22
Eray Cömert,ch SUI,ZG,Nantes,25,25,23,2,0,0,0,5,0,0.7,0.2,7,57,3
Alois Confais,fr FRA,"LT,AT",Le Havre,26,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Joaquín Correa,ar ARG,"AT,LT",Marseille,28,12,6,0,0,0,0,2,0,0.6,0.7,9,25,57
Oscar Cortés,co COL,"AT,LT",Lens,19,4,0,1,1,0,0,0,0,0.5,0.7,1,2,8
David Pereira da Costa,pt POR,LT,Lens,22,25,17,4,2,0,0,3,0,3.0,3.5,53,73,101
Logan Costa,cv CPV,ZG,Toulouse,22,31,29,1,1,0,0,6,0,1.4,0.6,19,145,14
Grégoire Coudert,fr FRA,G,Brest,24,3,2,0,0,0,0,0,0,0.0,0.0,0,0,0
Mamadou Coulibaly,fr FRA,LT,Monaco,19,5,1,0,0,0,0,0,0,0.2,0.1,2,5,7
Tanguy Coulibaly,fr FRA,"AT,LT",Montpellier,22,16,7,1,0,0,0,2,0,2.6,0.8,27,13,48
