Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Gaspar,ao ANG,ZG,Estrela,25,27,27,1,0,0,0,9,0,1.3,0.6,16,86,5
Bruno Gaspar,ao ANG,"LT,ZG",Vitória,30,28,28,2,3,0,0,7,0,1.6,2.2,46,91,212
Mory Gbane,ci CIV,LT,Gil Vicente FC,22,29,21,1,0,0,0,7,0,1.2,0.2,16,73,14
André Geraldes,pt POR,"LT,ZG",Casa Pia,32,16,5,0,0,0,0,2,0,0.1,0.0,5,15,22
Saviour Godwin,ng NGA,"AT,LT",Casa Pia,26,4,4,1,0,1,1,0,0,1.4,0.1,23,8,31
Eulânio Ângelo Chipela Gomes,gw GNB,LT,Estrela,29,12,6,0,1,0,0,2,0,0.1,0.8,16,20,31
Rodrigo Gomes,pt POR,"LT,ZG",Estoril,20,30,26,7,7,0,0,5,1,6.4,3.1,93,67,174
Vítor Gomes,pt POR,LT,Rio Ave,35,17,1,0,0,0,0,3,0,0.1,0.5,0,17,1
Victor Gomez,es ESP,ZG,Braga,23,30,26,0,2,0,0,3,2,0.4,4.8,41,145,174
Nuno Gonçalo Moreira,pt POR,"AT,LT",Casa Pia,24,15,14,2,1,0,0,2,0,1.8,1.2,14,61,58
Nuno Gonçalo Moreira,pt POR,"AT,LT",Vizela,24,15,14,1,2,0,0,1,0,1.9,2.4,20,52,69
João Gonçalves,pt POR,G,Boavista,22,34,34,0,0,0,0,4,0,0.0,0.0,0,1,0
Jota Gonçalves,pt POR,ZG,Vizela,23,18,16,0,0,0,0,3,0,0.4,0.1,9,62,3
Pedro Gonçalves,pt POR,"AT,LT",Sporting CP,25,32,32,11,12,0,0,4,0,11.0,9.4,73,153,211
Vítor Gonçalves,pt POR,LT,Farense,31,24,6,1,0,0,0,0,0,0.9,0.7,8,29,24
Cristo González,es ESP,"AT,LT",Arouca,25,34,33,15,9,3,6,3,0,12.6,6.9,65,134,223
Nicolás González,es ESP,LT,Porto,21,25,20,2,1,0,0,7,0,3.5,1.3,30,137,49
Tiago Gouveia,pt POR,AT,Benfica,22,13,5,2,3,0,0,1,0,1.8,2.2,15,25,58
João Graça,pt POR,LT,Rio Ave,28,28,14,0,0,0,0,10,0,0.6,0.4,25,72,31
