Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Aaron Ramsdale,eng ENG,G,Arsenal,25,6,6,0,0,0,0,0,0,0.0,0.0,0,2,0
Aaron Ramsey,eng ENG,"LT,AT",Burnley,20,14,5,0,0,0,0,1,0,0.3,0.4,8,8,17
Jacob Ramsey,eng ENG,"AT,LT",Aston Villa,22,16,8,1,1,0,0,2,0,2.2,1.0,33,28,69
Marcus Rashford,eng ENG,AT,Manchester Utd,25,33,26,7,2,2,2,2,0,7.3,2.3,95,65,184
David Raya,es ESP,G,Arsenal,27,32,32,0,0,0,0,2,0,0.0,0.0,0,2,0
Tim Ream,us USA,ZG,Fulham,35,18,17,1,0,0,0,4,1,1.0,0.0,11,65,3
Nathan Redmond,eng ENG,"AT,LT",Burnley,29,12,0,0,0,0,0,1,0,0.0,0.3,7,8,22
Harrison Reed,eng ENG,LT,Fulham,28,27,15,0,2,0,0,6,0,0.3,1.1,10,56,40
Sergio Reguilón,es ESP,ZG,Manchester Utd,26,9,4,0,0,0,0,3,0,0.2,0.7,11,27,38
Sergio Reguilón,es ESP,ZG,Brentford,26,16,14,0,4,0,0,4,1,0.8,2.8,34,38,40
Bobby Reid,jm JAM,AT,Fulham,30,33,17,6,2,0,0,4,0,4.6,1.8,35,47,95
Gio Reyna,us USA,"AT,LT",Nott'ham Forest,20,9,2,0,1,0,0,0,0,0.3,0.5,3,12,14
Rodrigo Ribeiro,pt POR,"LT,AT",Nott'ham Forest,18,4,0,0,0,0,0,0,0,0.0,0.0,2,2,1
Declan Rice,eng ENG,LT,Arsenal,24,38,37,7,8,0,0,5,0,3.3,5.3,75,278,64
Chris Richards,us USA,"ZG,LT",Crystal Palace,23,26,23,1,1,0,0,3,0,0.6,0.4,1,43,1
Richarlison,br BRA,AT,Tottenham,26,28,18,11,4,0,0,3,0,9.6,2.1,26,38,106
