Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Nico Elvedi,ch SUI,ZG,Gladbach,26,30,28,2,1,0,0,5,0,1.6,0.1,37,109,6
Arne Engels,be BEL,"LT,ZG",Augsburg,19,32,13,3,2,0,0,1,1,1.8,1.2,23,52,62
Ohis Felix Uduokhai,de GER,ZG,Augsburg,25,33,33,2,0,0,0,5,1,1.4,0.8,25,101,6
Edimilson Fernandes,ch SUI,ZG,Mainz 05,27,21,13,0,2,0,0,4,0,0.5,0.7,9,53,9
Nacho Ferri,es ESP,"AT,LT",Eint Frankfurt,18,8,0,1,0,0,0,0,0,1.2,0.0,0,2,8
Max Finkgräfe,de GER,"ZG,AT",Köln,19,24,18,1,0,0,0,4,0,1.0,1.6,51,53,59
Kilian Fischer,de GER,"ZG,LT",Wolfsburg,22,6,4,0,0,0,0,1,0,0.1,0.1,6,6,9
Jonas Föhrenbach,de GER,ZG,Heidenheim,27,33,32,0,0,0,0,2,0,0.5,0.8,44,96,69
Emil Forsberg,se SWE,"LT,AT",RB Leipzig,31,14,5,2,1,0,1,0,0,1.4,0.9,8,22,38
Philipp Förster,de GER,"LT,AT",Bochum,28,13,3,0,0,0,0,1,0,0.5,0.5,7,21,19
Bartol Franjić,hr CRO,LT,Darmstadt 98,23,20,14,0,1,0,0,5,0,0.3,0.2,13,50,14
Marco Friedl,at AUT,ZG,Werder Bremen,25,25,25,1,0,0,0,6,0,0.2,0.1,4,59,2
Marvin Friedrich,de GER,ZG,Gladbach,27,24,17,0,0,0,0,1,0,0.6,0.2,2,34,4
Jeremie Frimpong,nl NED,ZG,Leverkusen,22,31,27,9,7,0,0,6,0,8.2,5.9,153,49,348
Chris Führich,de GER,"AT,LT",Stuttgart,25,34,33,8,7,0,1,2,0,6.6,8.0,153,145,259
Shiō Fukuda,jp JPN,"AT,LT",Gladbach,19,5,0,0,0,0,0,0,0,0.2,0.0,0,0,2
Niclas Füllkrug,de GER,AT,Werder Bremen,30,2,2,0,0,0,0,0,0,0.5,0.3,2,9,12
Niclas Füllkrug,de GER,AT,Dortmund,30,29,27,12,8,3,3,1,0,12.4,3.1,17,49,119
Cristian Gamboa,cr CRC,ZG,Bochum,33,22,12,0,1,0,0,6,0,0.1,0.5,12,33,16
Dennis Geiger,de GER,LT,Hoffenheim,25,3,0,0,0,0,0,1,0,0.0,0.2,1,3,2
Yannick Gerhardt,de GER,"LT,ZG",Wolfsburg,29,25,18,2,1,0,0,5,0,1.9,0.9,17,49,73
Anwar El Ghazi,nl NED,"LT,ZG",Mainz 05,28,3,0,0,1,0,0,0,0,0.1,0.2,2,4,5
