Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Sandi Lovrić,si SVN,LT,Udinese,25,29,21,1,3,0,0,1,1,3.5,3.3,52,80,80
Lorenzo Lucca,it ITA,AT,Udinese,22,37,30,8,4,0,0,6,0,7.8,1.6,10,18,118
Jhon Lucumí,co COL,ZG,Bologna,25,29,23,0,0,0,0,1,0,0.8,0.3,28,93,4
José Luis Palomino,ar ARG,ZG,Atalanta,33,4,0,0,0,0,0,0,0,0.0,0.0,0,2,0
Romelu Lukaku,be BEL,AT,Roma,30,32,30,13,3,0,1,5,1,9.8,2.4,37,37,234
Karlo Lulić,hr CRO,LT,Frosinone,27,1,0,0,0,0,0,0,0,0.0,0.0,1,0,0
Sebastiano Luperto,it ITA,ZG,Empoli,26,38,38,1,1,0,0,4,0,1.7,1.0,13,100,13
Mateus Lusuardi,br BRA,ZG,Frosinone,19,4,3,0,0,0,0,1,0,0.1,0.0,2,12,0
Zito Luvumbo,ao ANG,"AT,LT",Cagliari,21,30,19,4,5,0,0,5,0,4.0,3.1,85,21,181
Charalambos Lykogiannis,gr GRE,ZG,Bologna,29,22,10,2,1,0,0,2,0,1.3,1.6,36,35,41
Giulio Maggiore,it ITA,LT,Salernitana,25,27,20,4,2,0,0,9,1,2.3,1.1,8,64,25
Giangiacomo Magnani,it ITA,ZG,Hellas Verona,27,33,27,0,0,0,0,6,0,0.5,0.2,15,79,10
Mike Maignan,fr FRA,G,Milan,28,29,29,0,1,0,0,1,1,0.0,0.3,0,0,0
Antoine Makoumbou,cg CGO,LT,Cagliari,25,32,32,1,0,0,0,5,2,0.7,0.9,37,137,52
Daniel Maldini,it ITA,"LT,AT",Monza,21,11,2,4,1,0,0,0,0,1.3,1.2,15,10,22
Daniel Maldini,it ITA,"AT,LT",Empoli,21,7,3,0,0,0,0,1,0,0.3,0.0,7,10,10
Youssef Maleh,ma MAR,LT,Empoli,24,34,30,0,1,0,0,11,0,1.6,2.4,17,117,65
Ruslan Malinovskyi,ua UKR,LT,Genoa,30,28,18,4,1,0,0,7,0,1.1,0.6,24,83,31
Gianluca Mancini,it ITA,ZG,Roma,27,36,34,4,1,0,0,9,0,1.9,1.1,38,139,13
Marco Mancosu,it ITA,"LT,AT",Cagliari,34,6,3,0,0,0,1,0,0,1.2,0.2,4,8,11
Christos Mandas,gr GRE,G,Lazio,21,9,8,0,0,0,0,0,0,0.0,0.0,0,0,0
Rolando Mandragora,it ITA,LT,Fiorentina,26,33,16,3,3,0,0,5,0,3.5,1.6,7,93,32
